item_id,item_label,reason
Q1495855,Gattung,"near-empty Wikidata stub (no description, no substance beyond the German word for 'genre/category' itself), not a real music genre"
Q2003975,Nu,"Wikidata describes it only as ""name of a music style""; it is a generic prefix (nu-metal, nu-disco, nu-jazz) not a standalone genre"
Q9347545,academic style,"near-empty Wikidata stub (Polish-only reference, no substantive description), not a real distinct music genre"
Q76825003,"folk, world and country","an industry/awards classification label (Grammy field grouping folk, country and world music together), not a distinct music genre itself"
Q10597524,neo music,"Wikidata describes this as ""general category of music genres with prefix neo"" -- a naming-convention category grouping many genres, not a distinct genre itself"
Q25504971,rhythm music,"Wikidata describes this as ""musical genres with an emphasis on playing by ear and improvisation"" (plural) -- a category grouping many genres, not a distinct genre itself"
Q3375178,urban percussion,"near-empty Wikidata stub (only a French label, 'Percussion urbaine', no substantive description), not a real distinct music genre"
Q9375535,vitalism,"near-empty Wikidata stub with no substantive genre definition (search results only surface an unrelated band of the same name), not a real music genre"
Q11787400,vocal-instrumental music,overly broad umbrella description (any music combining vocals and instruments) rather than a distinct genre
Q863539,binaural beats,"an auditory perception phenomenon/audio effect, not a music genre"
Q127471000,obscuro,"vague AllMusic catch-all label for unclassifiable/experimental records, not a coherent music genre"
Q23072435,chant,"broad liturgical/ritual vocal-recitation umbrella (form, not a genre in its own right); manual triage per user"
Q3328755,regional music,"overly broad meta/umbrella classification concept, not a distinct genre itself"
Q523896,regional hymn,"overly broad meta/umbrella classification concept (regional + hymn), not a distinct genre itself"
Q10811025,national anthem music,"overly broad meta/umbrella classification concept, not a distinct genre itself"
Q121032006,national music,"overly broad meta/umbrella classification concept, not a distinct genre itself"
Q11421132,national song,"overly broad meta/umbrella classification concept, not a distinct genre itself"
Q18846,ancient music,"era descriptor, not a distinct genre itself"
Q761684,prehistoric music,"era descriptor, not a distinct genre itself"
Q8011523,contemporary music,"era descriptor, not a distinct genre itself"
Q12046406,contemporary popular music,"era+popularity descriptor, not a distinct genre itself"
Q186017,contemporary vocal music,"era+medium descriptor, not a distinct genre itself"
Q504635,crossover,"overly broad meta term for any inter-genre fusion, not a distinct genre itself"
Q2784269,oriental music,"vague Orientalist umbrella term, not a coherent distinct genre"
Q112176170,beats,"vague generic term, not a distinct genre itself"
Q2196156,mellow,"vague mood descriptor, not a distinct genre itself"
Q110713293,music school,"an institution, not a music genre"
Q1278710,trivial music,"vague aesthetic-judgment label (German Trivialmusik), not a coherent distinct genre"
Q1373485,underground music,"vague scene descriptor, not a distinct genre itself"
Q28453837,vernacular music,"vague meta descriptor (music of common/everyday use), not a distinct genre itself"
Q12832355,youth music,"vague demographic descriptor, not a distinct genre itself"
Q3328794,Etruscan music,"verified via WebSearch: Wikidata describes it as a subclass of already-dropped 'ancient music' documenting Etruscan-civilization musical practice; ancient-civilization era/culture descriptor, not a distinct genre"
Q106286879,elegy,"user-directed: musical form/composition descriptor (instrumental piece lamenting a death), not a distinct music genre"
Q11696539,elegy,"user-directed: musical form/composition descriptor (chamber piece of thoughtful, sad tone), not a distinct music genre"
Q26906566,Beat poetry,"fundamentally a literary/poetic movement (Beat Generation); jazz backing is incidental accompaniment, not a distinct musical style — Wikidata over-classification as music genre"
Q2105776,Posse mit Gesang,"a 19th-century German theatrical/farce drama form, not fundamentally a music genre despite the dual Wikidata classification"
Q123600631,lostwave,"a meta-category for tracks of unidentified origin (""music of unknown origin""), not an actual musical style/genre"
Q5658489,free step,"confirmed via WebSearch/Wikidata to be a style of street dance, not a music genre"
Q286080,acoustic music,"confirmed via WebSearch: instrumentation-based umbrella (music without electronic amplification), not a distinct genre itself"
Q1016608,burlesque,"confirmed via WebSearch: a literary/dramatic/musical caricature composition form, not a distinct music genre"
Q5165023,contemporary commercial music,"confirmed via WebSearch: a vocal-pedagogy umbrella term encompassing jazz, pop, blues, soul, country, folk, and rock, not a distinct genre itself"
Q639197,instrumental music,"confirmed via WebSearch: instrumentation-based umbrella (music without vocals), not a distinct genre itself"
Q123777276,musical drama,"confirmed via WebSearch: a theatrical classification (drama tied with musical performance), not a distinct music genre"
Q42201,independent music,"confirmed via WebSearch: a distribution-model/scene descriptor (music scene acting independently of the corporate industry), not a distinct genre itself"
Q2416307,outsider music,"vague scene/reception descriptor (music by outsider/non-professional artists), not a distinct genre itself"
Q2236597,sound sculpture,"confirmed via WebSearch: a type of sculpture (visual/installation art) that produces sound, not a music genre"
Q20722785,Ode for St. Cecilia,"confirmed via WebSearch: refers to a specific cantata (Handel's Ode for St. Cecilia's Day, HWV 76), a composition rather than a music genre"
Q1744327,sound art,"confirmed via WebSearch: an interdisciplinary contemporary-art practice situated between music and visual/installation art, typically exhibited in galleries and not performed in the musical sense; not a distinct music genre"
Q1808721,sound poetry,"confirmed via WebSearch: a literary art form bridging poetry and sound (phonetic performance of verse), not a distinct music genre"
Q6036577,subjective music,"confirmed via WebSearch: near-empty Wikidata stub with no substantive description found, not a real distinct music genre"
Q2114901,inspection march,"ceremonial military-band march subtype (Wikidata subclass-of military march), not a music genre family in its own right"
