word,capitalized,reason
afghan,Afghan,demonym seeded upfront to cover nationality-adjective genre labels
albanian,Albanian,demonym seeded upfront to cover nationality-adjective genre labels
algerian,Algerian,demonym seeded upfront to cover nationality-adjective genre labels
american,American,demonym seeded upfront to cover nationality-adjective genre labels
andorran,Andorran,demonym seeded upfront to cover nationality-adjective genre labels
angolan,Angolan,demonym seeded upfront to cover nationality-adjective genre labels
argentine,Argentine,demonym seeded upfront to cover nationality-adjective genre labels
argentinian,Argentinian,demonym seeded upfront to cover nationality-adjective genre labels
armenian,Armenian,demonym seeded upfront to cover nationality-adjective genre labels
australian,Australian,demonym seeded upfront to cover nationality-adjective genre labels
austrian,Austrian,demonym seeded upfront to cover nationality-adjective genre labels
azerbaijani,Azerbaijani,demonym seeded upfront to cover nationality-adjective genre labels
bahamian,Bahamian,demonym seeded upfront to cover nationality-adjective genre labels
bahraini,Bahraini,demonym seeded upfront to cover nationality-adjective genre labels
bangladeshi,Bangladeshi,demonym seeded upfront to cover nationality-adjective genre labels
barbadian,Barbadian,demonym seeded upfront to cover nationality-adjective genre labels
belarusian,Belarusian,demonym seeded upfront to cover nationality-adjective genre labels
belgian,Belgian,demonym seeded upfront to cover nationality-adjective genre labels
belizean,Belizean,demonym seeded upfront to cover nationality-adjective genre labels
beninese,Beninese,demonym seeded upfront to cover nationality-adjective genre labels
bhutanese,Bhutanese,demonym seeded upfront to cover nationality-adjective genre labels
bolivian,Bolivian,demonym seeded upfront to cover nationality-adjective genre labels
bosnian,Bosnian,demonym seeded upfront to cover nationality-adjective genre labels
botswanan,Botswanan,demonym seeded upfront to cover nationality-adjective genre labels
brazilian,Brazilian,demonym seeded upfront to cover nationality-adjective genre labels
british,British,demonym seeded upfront to cover nationality-adjective genre labels
bruneian,Bruneian,demonym seeded upfront to cover nationality-adjective genre labels
bulgarian,Bulgarian,demonym seeded upfront to cover nationality-adjective genre labels
burkinabe,Burkinabe,demonym seeded upfront to cover nationality-adjective genre labels
burmese,Burmese,demonym seeded upfront to cover nationality-adjective genre labels
burundian,Burundian,demonym seeded upfront to cover nationality-adjective genre labels
cambodian,Cambodian,demonym seeded upfront to cover nationality-adjective genre labels
cameroonian,Cameroonian,demonym seeded upfront to cover nationality-adjective genre labels
canadian,Canadian,demonym seeded upfront to cover nationality-adjective genre labels
cape,Cape,first word of the "Cape Verdean" demonym seeded upfront
verdean,Verdean,second word of the "Cape Verdean" demonym seeded upfront
central,Central,"common prefix word ('Central African', 'Central American') seeded upfront"
chadian,Chadian,demonym seeded upfront to cover nationality-adjective genre labels
chilean,Chilean,demonym seeded upfront to cover nationality-adjective genre labels
chinese,Chinese,demonym seeded upfront to cover nationality-adjective genre labels
colombian,Colombian,demonym seeded upfront to cover nationality-adjective genre labels
comoran,Comoran,demonym seeded upfront to cover nationality-adjective genre labels
congolese,Congolese,demonym seeded upfront to cover nationality-adjective genre labels
costa,Costa,first word of the "Costa Rican" demonym seeded upfront
rican,Rican,second word of the "Costa Rican"/"Puerto Rican" demonym seeded upfront
croatian,Croatian,demonym seeded upfront to cover nationality-adjective genre labels
cuban,Cuban,demonym seeded upfront to cover nationality-adjective genre labels
cypriot,Cypriot,demonym seeded upfront to cover nationality-adjective genre labels
czech,Czech,demonym seeded upfront to cover nationality-adjective genre labels
danish,Danish,demonym seeded upfront to cover nationality-adjective genre labels
djiboutian,Djiboutian,demonym seeded upfront to cover nationality-adjective genre labels
dominican,Dominican,demonym seeded upfront to cover nationality-adjective genre labels
dutch,Dutch,demonym seeded upfront to cover nationality-adjective genre labels
ecuadorian,Ecuadorian,demonym seeded upfront to cover nationality-adjective genre labels
egyptian,Egyptian,demonym seeded upfront to cover nationality-adjective genre labels
emirati,Emirati,demonym seeded upfront to cover nationality-adjective genre labels
english,English,demonym seeded upfront to cover nationality-adjective genre labels
equatorial,Equatorial,first word of the "Equatorial Guinean" demonym seeded upfront
eritrean,Eritrean,demonym seeded upfront to cover nationality-adjective genre labels
estonian,Estonian,demonym seeded upfront to cover nationality-adjective genre labels
ethiopian,Ethiopian,demonym seeded upfront to cover nationality-adjective genre labels
fijian,Fijian,demonym seeded upfront to cover nationality-adjective genre labels
filipino,Filipino,demonym seeded upfront to cover nationality-adjective genre labels
finnish,Finnish,demonym seeded upfront to cover nationality-adjective genre labels
french,French,demonym seeded upfront to cover nationality-adjective genre labels
gabonese,Gabonese,demonym seeded upfront to cover nationality-adjective genre labels
gambian,Gambian,demonym seeded upfront to cover nationality-adjective genre labels
georgian,Georgian,demonym seeded upfront to cover nationality-adjective genre labels
german,German,demonym seeded upfront to cover nationality-adjective genre labels
ghanaian,Ghanaian,demonym seeded upfront to cover nationality-adjective genre labels
greek,Greek,demonym seeded upfront to cover nationality-adjective genre labels
guatemalan,Guatemalan,demonym seeded upfront to cover nationality-adjective genre labels
guinean,Guinean,demonym seeded upfront to cover nationality-adjective genre labels
guyanese,Guyanese,demonym seeded upfront to cover nationality-adjective genre labels
