item_id,item_label,reason,overview_item_id,exclude_other_parents
Q1089050,Latin alternative,"newly orphaned root after both its parents (alternative music Q1695023, Latin music Q18345375) were excluded as overly broad umbrellas; a Hispanic/Latin-world fusion genre with no single national home, nested under the Hispanic-world regional overview",LOCAL:hispanic-world,
Q110592616,Farsi music,"newly orphaned root after world music (Q205049) was excluded as an overly broad umbrella; Farsi is the Persian language, spoken predominantly in Iran, so nested under music of Iran",Q1672398,
Q4118941,mezwed,"root item with no P279/P361 parent and no P2341/P495 value, but a Tunisian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q936552,
Q11331567,Pyonkobushi,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533,
Q126667584,Aire típico,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q6076141,pindín,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q5815576,mejorana,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q6036438,música cañonera,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q56465221,plena de Panamá,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q65165373,sajuriana,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q106543080,raspacanilla,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q17477934,bunde (Panama),"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240,
Q5018019,Cajun fiddle,"root item with no P279/P361 parent and no P2341/P495 value, but a Louisiana Cajun genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942158,
Q6070734,Irish fiddle,"root item with no P279/P361 parent and no P2341/P495 value, but an Irish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1378776,
Q7269821,Quebec fiddle,"root item with no P279/P361 parent and no P2341/P495 value, but a Quebecois genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328756,
Q136822752,Ceòl mòr,"root item with no P279/P361 parent and no P2341/P495 value, but a Scottish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1048469,
Q17004101,Haitian Gospel,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513,
Q6379228,Kavigan,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513,
Q60847029,léròl,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513,
Q104016404,Matrouz,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513,
Q16669340,Kushtdepdi,"root item with no P279/P361 parent and no P2341/P495 value, but a Turkmen genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328789,
Q14541561,Serbian traditional folk music,"root item with no P279/P361 parent and no P2341/P495 value, but a Serbian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2363645,
Q13072955,Myanmar song,"root item with no P279/P361 parent and no P2341/P495 value, but a Burmese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328602,
Q17157177,Tahitian Drumming,"root item with no P279/P361 parent and no P2341/P495 value, but a Tahitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942287,
Q1361883,Trecento Madrigal,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253,
Q1980609,ballata,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253,
Q1024999,caccia,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253,
Q4011325,Vidalita,"root item with no P279/P361 parent and no P2341/P495 value, but an Argentine genre missed by the automated seed/indigenous_to/country_of_origin classification",Q645992,
Q16637763,tango canción,"root item with no P279/P361 parent and no P2341/P495 value, but an Argentine genre missed by the automated seed/indigenous_to/country_of_origin classification",Q645992,
Q7446911,Seis,"root item with no P279/P361 parent and no P2341/P495 value, but a Puerto Rican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q427183,
Q4940448,bomba,"root item with no P279/P361 parent and no P2341/P495 value, but a Puerto Rican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q427183,
Q86726390,San'a,"root item with no P279/P361 parent and no P2341/P495 value, but a Yemeni genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328786,
Q4936373,bodabil in the Philippines,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743,
Q55608822,Dadakuada,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743,
Q137299027,Pogi rock,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743,
Q11348032,rhythm kayo,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743,
Q1674327,Tvísöngur,"root item with no P279/P361 parent and no P2341/P495 value, but an Icelandic genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2617447,
Q22947471,fkirettes,"root item with no P279/P361 parent and no P2341/P495 value, but a Maltese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942168,
Q7849239,trường ca,"root item with no P279/P361 parent and no P2341/P495 value, but a Vietnamese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1156957,
Q11277611,Taryeong,"root item with no P279/P361 parent and no P2341/P495 value, but a Korean genre missed by the automated seed/indigenous_to/country_of_origin classification",Q716060,
Q3565141,Wahrani,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583,
Q12213606,allaoui,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583,
Q20726225,diwan,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583,
Q3574259,Yéla,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian (Kabyle) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583,
Q3098694,Gasba music,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583,
Q97481136,Gesellschaftslied,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758,
Q1357775,Geisslerlieder,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758,
Q2403744,Tenorlied,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758,
Q960867,Liederspiel,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758,
Q3843144,Maggio drammatico,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098,
Q637696,siciliana,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian (Sicilian) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098,
Q3656510,canzone genovese,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian (Genoese) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098,
Q16535291,balletto,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098,
Q97277870,al ala,"root item with no P279/P361 parent and no P2341/P495 value, but a Moroccan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2346484,
Q56398770,Timbila,"root item with no P279/P361 parent and no P2341/P495 value, but a Mozambican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2294872,
Q3853406,Mdundiko,"root item with no P279/P361 parent and no P2341/P495 value, but a Tanzanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3868600,
