item_id,item_label,reason,parent_item_id,exclude_other_parents
Q4034145,antipop,newly orphaned root after alternative music (Q1695023) was excluded as an overly broad umbrella; Wikidata describes it as positioned against/derived from pop music,Q37073,
Q127470683,progressive alternative music,"newly orphaned after progressive music (Q7248857) was excluded as an umbrella cross-genre descriptor; alternative music itself is dropped as umbrella, so re-parented under alternative rock (Q11366), the closest real surviving genre",Q11366,
Q649634,progressive folk,newly orphaned after progressive music (Q7248857) was excluded as an umbrella cross-genre descriptor; re-parented under folk music (Q43343),Q43343,
Q484344,progressive metal,newly orphaned after progressive music (Q7248857) was excluded as an umbrella cross-genre descriptor; re-parented under metal music (Q12326776),Q12326776,
Q1500364,psychedelic folk,"newly orphaned after psychedelic music (Q846119) was excluded as an umbrella cross-genre descriptor; re-parented under contemporary folk music (Q106298881), its closer secondary-parent match",Q106298881,
Q121368137,psychedelic metal,newly orphaned after psychedelic music (Q846119) was excluded as an umbrella cross-genre descriptor; re-parented under metal music (Q12326776),Q12326776,
Q134417733,sitarsploitation,"newly orphaned after psychedelic music (Q846119) was excluded as an umbrella cross-genre descriptor; re-parented under exotica (Q916387), its existing secondary parent",Q916387,
Q3990466,third wave ska,"user-requested re-parent: musically a ska-punk fusion, layering punk rock guitar/drums under ska horns/offbeat structure, so moved under punk rock (Q3071) instead of ska",Q3071,
Q2064394,worldbeat,"user-requested re-parent after world music (Q205049) was excluded as an umbrella; worldbeat fuses traditional non-Western music with Western electronic production, so moved under electronic music (Q9778)",Q9778,
Q5477103,Foxcore,root item with no P279/P361 parent; a 1990s female-fronted rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q7233169,Posi music,"root item with no P279/P361 parent; a ""positive""-themed punk/hardcore rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q11399,
Q1325966,electro wave,"root item with no P279/P361 parent; Wikidata marks this item as a permanent duplicate merged into synthwave, so it is nested under its duplicate target rather than left as a separate root",Q19938910,
Q127164152,garage metal,root item with no P279/P361 parent; a 2020s garage rock/metal fusion genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q211573,
Q9035285,moshcore,root item with no P279/P361 parent; a hardcore punk subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q10922,
Q3345214,new consonant music,root item with no P279/P361 parent; a post-WWII contemporary classical aesthetic movement (founded by Piotr Lachert) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q2332751,
Q1234748,retro-prog,root item with no P279/P361 parent; a progressive rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q49451,
Q1804789,wave,"root item with no P279/P361 parent; an umbrella term for genres derived from new wave, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q187760,
Q864605,biomusic,"root item with no P279/P361 parent; an experimental music form using sounds created/performed by non-humans, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
Q4877851,beautiful music,"root item with no P279/P361 parent; an instrumental easy-listening radio format prominent in North America (1950s-1980s), with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q848399,
Q17119190,hyperrealism,"root item with no P279/P361 parent; an electroacoustic compositional aesthetic coined by Noah Creshevsky, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
Q51560345,intuitive folk,root item with no P279/P361 parent; a folk subgenre coined for Diane Cluck's music with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q43343,
