item_id,display_label,reason
Q37073,Mainstream Pop,grow-the-music-tree-api requires a canonical root named exactly "Mainstream Pop"
Q113510667,Artcore (Techno),"homonym: shares the display name ""artcore"" with Q5392990 (a punk movement) in the exported canonical genre tree, which grow-the-music-tree-api rejects as a duplicate node name; this item is a subgenre of hardcore techno"
Q5392990,Artcore (Punk),"homonym: shares the display name ""artcore"" with Q113510667 (a hardcore techno subgenre); this item is an anti-art punk movement started in the 1980s"
Q11693017,Darkcore (Breakbeat),"homonym: shares the display name ""darkcore"" with Q123543092 (a gabber-influenced hardcore EDM genre); this item is a subgenre of breakbeat hardcore"
Q123543092,Darkcore (Gabber),"homonym: shares the display name ""darkcore"" with Q11693017 (a breakbeat hardcore subgenre); this item is a gabber-influenced hardcore EDM genre"
Q12629666,Deathcore (Techno),"homonym: shares the display name ""deathcore"" with Q475221 (a metalcore/death metal fusion); this item is a subgenre of hardcore techno"
Q475221,Deathcore (Metal),"homonym: shares the display name ""deathcore"" with Q12629666 (a hardcore techno subgenre); this item is a fusion of metalcore and death metal"
Q110544183,Doomcore (Metal),"homonym: shares the display name ""doomcore"" with Q1242484 (a hardcore EDM genre); this item is a historical doom metal style hybrid"
Q1242484,Doomcore (EDM),"homonym: shares the display name ""doomcore"" with Q110544183 (a doom metal style hybrid); this item is a hardcore EDM genre"
Q1325944,Electro (Umbrella),"same-parent collision (both under ""electronic dance music""): shares the display name ""electro"" with Q217597 (the specific 1980s genre); this item is the broader umbrella term covering the electro group of genres"
Q217597,Electro (1980s),"same-parent collision (both under ""electronic dance music""): shares the display name ""electro"" with Q1325944 (the broader umbrella term); this item is the specific genre that originated in the 1980s"
Q1804789,Wave (New Wave),"homonym: shares the display name ""wave"" with Q106369996 (an electronic music genre); this item is an umbrella term derived from new wave"
Q106369996,Wave (Electronic),"homonym: shares the display name ""wave"" with Q1804789 (a new wave-derived umbrella term); this item is an electronic music genre"
Q116455215,Banda music (Central Africa),"homonym: shares the display name ""banda music"" with Q2812726 (a Mexican brass/percussion genre) in the exported regional genre tree, which grow-the-music-tree-api rejects as a duplicate node name; this item is music of the Banda people, a Central African ethnic group"
Q2812726,Banda music (Mexico),"homonym: shares the display name ""banda music"" with Q116455215 (music of the Central African Banda people); this item is a Mexican music genre heavy on brass and percussion"
Q15306187,Corrido (Spain),"homonym: shares the display name ""corrido"" with Q869210 (a Mexican music genre); this item is a traditional style of dance and music of Spain"
Q869210,Corrido (Mexico),"homonym: shares the display name ""corrido"" with Q15306187 (a traditional Spanish dance/music style); this item is a Mexican music genre"
Q124739364,Dominican hip hop (Latin hip-hop),"homonym: shares the display name ""Dominican hip hop"" with Q5768028 (a broader overview of hip hop in the Dominican Republic); this item is a Latin hip-hop subgenre"
Q5768028,Dominican hip hop (Overview),"homonym: shares the display name ""Dominican hip hop"" with Q124739364 (a Latin hip-hop subgenre); this item is a broader overview of hip hop as a scene in the Dominican Republic, with no single parent genre"
Q13057711,Mass song (Bengal),"homonym: shares the display name ""mass song"" with Q6784085 (a Soviet song genre); this item is a Bengali musical genre"
Q6784085,Mass song (Soviet Union),"homonym: shares the display name ""mass song"" with Q13057711 (a Bengali musical genre); this item is a Soviet song genre"
Q16497280,Batuque (Brazil),"homonym: shares the display name ""batuque"" with Q2891921 (a Cape Verdean music/dance genre); this item is a set of Afro-Brazilian dances accompanied by percussion and sometimes singing"
Q2891921,Batuque (Cape Verde),"homonym: shares the display name ""batuque"" with Q16497280 (an Afro-Brazilian dance genre); this item is a music and dance genre from Cape Verde"
Q15830404,Bolero (Cuba),"homonym: shares the display name ""bolero"" with Q489913 (a Spanish folk dance/music genre); this item is a genre of Latin music of Cuban origin"
Q489913,Bolero (Spain),"homonym: shares the display name ""bolero"" with Q15830404 (a Cuban-origin Latin music genre); this item is a Spanish folk dance and music genre"
Q2278063,Bomba (Puerto Rico),"homonym: shares the display name ""bomba"" with Q4940448 (a musical style of Ecuador); this item is a traditional musical style of Puerto Rico"
Q4940448,Bomba (Ecuador),"homonym: shares the display name ""bomba"" with Q2278063 (a traditional Puerto Rican musical style); this item is a musical style of Ecuador"
Q1062328,Chanson (Renaissance),"homonym: shares the display name ""chanson"" with Q1062400 (lyric-driven French song); this item is a polyphonic form of secular vocal music from the 15th and 16th centuries"
Q1062400,Chanson (French song),"homonym: shares the display name ""chanson"" with Q1062328 (a 15th/16th-century polyphonic secular vocal form); this item is lyric-driven French song"
Q107740285,Cumbia (Latin America),"homonym: shares the display name ""cumbia"" with Q723418 (a Colombian music genre/dance) and Q97276030 (a Panamanian music genre/dance); this item is a broader family of musical rhythms and folk dance traditions across Latin America"
Q723418,Cumbia (Colombia),"homonym: shares the display name ""cumbia"" with Q107740285 (the broader Latin American cumbia family) and Q97276030 (a Panamanian music genre/dance); this item is a music genre and dance from Colombia"
Q97276030,Cumbia (Panama),"homonym: shares the display name ""cumbia"" with Q107740285 (the broader Latin American cumbia family) and Q723418 (a Colombian music genre/dance); this item is a music genre and dance from Panama"
Q1427690,Daina (Latvia),"homonym: shares the display name ""daina"" with Q3735853 (a Baltic vocal folk music tradition); this item is a traditional form of music from Latvia"
Q3735853,Daina (Baltic),"homonym: shares the display name ""daina"" with Q1427690 (Latvian traditional music); this item is a vocal folk music tradition in Baltic languages, preserved in Lithuania and Latvia"
Q56351526,Forró (Brazil),"homonym: shares the display name ""forró"" with Q586110 (a music genre specifically from northeastern Brazil); this item is a Brazilian music genre"
Q586110,Forró (Northeastern Brazil),"homonym: shares the display name ""forró"" with Q56351526 (a Brazilian music genre); this item is a music genre from the northeast region of Brazil"
