item_id,item_label,reason
Q16147503,music of Dominica,"never P31 music genre nor a parent_label in Bronze; real Wikidata QID looked up by hand and confirmed to have label starting with ""music of """
LOCAL:indigenous-americas,music of Indigenous peoples of the Americas,synthetic (no matching Wikidata overview item) - needed to reclassify cross-national pre-Hispanic/Indigenous-heritage fusion genres as regional instead of forcing them onto an unrelated canonical parent
Q16823040,music of the Cook Islands,"never P31 music genre nor a parent_label in Bronze; real Wikidata QID looked up by hand and confirmed to have label starting with ""music of """
LOCAL:andean-music,music of the Andes,"synthetic (no matching Wikidata overview item) - real item Q492096 'Andean music' already exists in the genre tree as a canonical parent (item_id already present, so it can't be reused as a new overview row); needed to reclassify tundiqui (P495 lists both Peru and Bolivia) as regional under one shared umbrella instead of arbitrarily picking a single country"
LOCAL:lusophone-music,music of the Lusophone world,"synthetic (no matching Wikidata overview item) - real item Q6705212 'Lusophone music' already exists in the genre tree as a canonical parent (item_id already present, so it can't be reused as a new overview row); needed to reclassify novo movimento (no P495/P17, ambiguous between Portugal and Brazil) as regional under one shared umbrella instead of guessing a single country"
LOCAL:basque-country,music of the Basque Country,"synthetic (no matching Wikidata overview item) - real item Q3328599 'Basque music' already exists in the genre tree as a canonical parent (item_id already present, so it can't be reused as a new overview row); needed to reclassify plaza musika, described as a Basque-language genre with no separate Basque-Country overview available"
LOCAL:anglo-american-music,music of the Anglo-American world,"synthetic (no matching Wikidata overview item) - needed to reclassify Anglo-American music, a cross-national English-speaking-world grouping (US/UK/Canada/Australia etc.) with no single-country home, as regional instead of leaving it as an uncollapsed canonical root"
LOCAL:aramaic-music,music of the Aramaic-speaking world,"synthetic (no matching Wikidata overview item) - needed to reclassify Aramaic music, a cross-national linguistic/ethnic grouping (Assyrian/Syriac communities across Iraq, Syria, Turkey, Iran and the diaspora) with no single-country home, as regional instead of leaving it as an uncollapsed canonical root"
LOCAL:nordic-music,music of the Nordic countries,"synthetic (no matching Wikidata overview item) - needed to reclassify Nordic tone, a cross-national Scandinavian/Nordic grouping with no single-country home, as regional instead of leaving it as an uncollapsed canonical root"
LOCAL:southern-cone,music of the Southern Cone,"synthetic (no matching Wikidata overview item) - needed to reclassify Southern cone music, a cross-national grouping (Argentina, Chile, Uruguay, southern Brazil/Paraguay) with no single-country home, as regional instead of leaving it as an uncollapsed canonical root"
